lig,ulke,takim,sehir
N1,NED,Cambuur,Leeuwarden
N1,NED,Excelsior,Rotterdam
N1,NED,FC Emmen,Emmen
N1,NED,Feyenoord,Rotterdam
N1,NED,For Sittard,Sittard
N1,NED,Go Ahead Eagles,Deventer
N1,NED,Groningen,Groningen
N1,NED,Heerenveen,Heerenveen
N1,NED,Heracles,Almelo
N1,NED,NAC Breda,Breda
N1,NED,Nijmegen,Nijmegen
N1,NED,PSV Eindhoven,Eindhoven
N1,NED,Sparta Rotterdam,Rotterdam
N1,NED,Twente,Enschede
N1,NED,Utrecht,Utrecht
N1,NED,Vitesse,Arnhem
N1,NED,Volendam,Volendam
N1,NED,Waalwijk,Waalwijk
N1,NED,Willem II,Tilburg
N1,NED,Zwolle,Zwolle
P1,POR,AVS,Vila das Aves
P1,POR,Arouca,Arouca
P1,POR,Belenenses,Lisboa
P1,POR,Benfica,Lisboa
P1,POR,Boavista,Porto
P1,POR,Casa Pia,Lisboa
P1,POR,Chaves,Chaves
P1,POR,Estoril,Estoril
P1,POR,Estrela,Amadora
P1,POR,Famalicao,Vila Nova de Famalicão
P1,POR,Farense,Faro
P1,POR,Gil Vicente,Barcelos
P1,POR,Guimaraes,Guimarães
P1,POR,Maritimo,Funchal
P1,POR,Moreirense,Moreira de Cónegos
P1,POR,Nacional,Funchal
P1,POR,Pacos Ferreira,Paços de Ferreira
P1,POR,Portimonense,Portimão
P1,POR,Porto,Porto
P1,POR,Rio Ave,Vila do Conde
P1,POR,Santa Clara,Ponta Delgada
P1,POR,Sp Braga,Braga
P1,POR,Sp Lisbon,Lisboa
P1,POR,Tondela,Tondela
P1,POR,Vizela,Vizela
SC0,SCO,Aberdeen,Aberdeen
SC0,SCO,Celtic,Glasgow
SC0,SCO,Dundee,Dundee
SC0,SCO,Dundee United,Dundee
SC0,SCO,Hearts,Edinburgh
SC0,SCO,Hibernian,Edinburgh
SC0,SCO,Kilmarnock,Kilmarnock
SC0,SCO,Livingston,Livingston
SC0,SCO,Motherwell,Motherwell
SC0,SCO,Rangers,Glasgow
SC0,SCO,Ross County,Dingwall
SC0,SCO,St Johnstone,Perth
SC0,SCO,St Mirren,Paisley
SC1,SCO,Airdrie Utd,Airdrie
SC1,SCO,Arbroath,Arbroath
SC1,SCO,Ayr,Ayr
SC1,SCO,Cove Rangers,Aberdeen
SC1,SCO,Dundee,Dundee
SC1,SCO,Dundee United,Dundee
SC1,SCO,Dunfermline,Dunfermline
SC1,SCO,Falkirk,Falkirk
SC1,SCO,Hamilton,Hamilton
SC1,SCO,Inverness C,Inverness
SC1,SCO,Kilmarnock,Kilmarnock
SC1,SCO,Livingston,Livingston
SC1,SCO,Morton,Greenock
SC1,SCO,Partick,Glasgow
SC1,SCO,Queen of Sth,Dumfries
SC1,SCO,Queens Park,Glasgow
